incident_id,timestamp,site_id,reporter_role,narrative_text,category,severity,cyber_nexus,cyber_implication,nist_csf_function,pattern_flag,_outcome,_location,_confidence
INC-000446,2026-01-06T01:34:00,SITE-D,guard,A slip-and-fall was reported in the classroom building at 01:34; first aid rendered.,PR-04,P4,none,No cyber-nexus (safety event),N/A,False,observation,classroom_building,1.0
INC-000303,2026-01-06T12:21:00,SITE-C,guard,"At 12:21, minor vandalism was noted at the records room.",PR-02,P3,none,No cyber-nexus,N/A,False,observation,records_room,1.0
INC-000094,2026-01-06T13:28:00,SITE-B,supervisor,"At 13:28, a suspected theft was reported in the it office.",PR-01,P3,low,Minimal cyber-nexus (asset loss),N/A,False,observation,it_office,1.0
INC-000560,2026-01-06T17:02:00,SITE-E,guard,"At 17:02, an unscheduled delivery was dropped at the records room with no manifest.",VP-04,P2,moderate,Suspicious parcel / potential delivery-based vector,Detect,False,observation,records_room,1.0
INC-000504,2026-01-06T20:46:00,SITE-E,account_manager,An item was reported missing from the courtyard at 20:46.,PR-01,P4,low,Minimal cyber-nexus (asset loss),N/A,False,observation,courtyard,1.0
INC-000536,2026-01-06T21:41:00,SITE-G,guard,"At 21:41, a visitor in the parking lot was positioned to read a logged-in screen.",IF-03,P4,moderate,Credential or information disclosure (visual),Protect,False,observation,parking_lot,1.0
INC-000028,2026-01-07T02:59:00,SITE-G,guard,"At 02:59, motion reported in the network closet during a period with no scheduled activity.",AC-05,P2,moderate,Anomalous presence outside authorized hours,Detect,False,observation,network_closet,1.0
INC-000312,2026-01-07T03:16:00,SITE-A,supervisor,Unrecognized device observed plugged into equipment in the server room at 03:16.,DV-02,P1,critical,Direct network or endpoint compromise,Detect,False,success,server_room,1.0
INC-000359,2026-01-07T05:31:00,SITE-F,supervisor,"At 05:31, minor vandalism was noted at the main gate.",PR-02,P4,none,No cyber-nexus,N/A,False,observation,main_gate,1.0
INC-000363,2026-01-07T07:02:00,SITE-A,guard,Visitor at the cafeteria at 07:02 declined to provide identification and had no record of appointment.,VP-01,P4,moderate,Unverified identity / potential pretext,Identify,False,attempt,cafeteria,1.0
INC-000246,2026-01-07T09:36:00,SITE-A,guard,"At 09:36, a trespasser was noted crossing into the grounds at the main gate.",PR-03,P4,low,Perimeter integrity (low cyber-nexus),N/A,False,observation,main_gate,1.0
INC-000485,2026-01-07T16:06:00,SITE-G,guard,Documents containing personal information were found in open trash at the administration office at 16:06.,IF-02,P2,moderate,Sensitive data / PII disclosure via disposal,Protect,False,observation,administration_office,1.0
INC-000083,2026-01-08T02:18:00,SITE-D,guard,"At 02:18, an unscheduled delivery was dropped at the classroom building with no manifest.",VP-04,P4,moderate,Suspicious parcel / potential delivery-based vector,Detect,False,observation,classroom_building,1.0
INC-000589,2026-01-08T05:06:00,SITE-E,guard,"At 05:06, a suspected theft was reported in the dormitory entrance.",PR-01,P4,low,Minimal cyber-nexus (asset loss),N/A,False,observation,dormitory_entrance,1.0
INC-000403,2026-01-08T10:16:00,SITE-C,guard,An item was reported missing from the chapel at 10:16.,PR-01,P4,low,Minimal cyber-nexus (asset loss),N/A,False,observation,chapel,1.0
INC-000259,2026-01-08T12:16:00,SITE-F,guard,Badge presented at records room at 12:16 belonged to a person no longer affiliated with the institution.,AC-03,P1,high,Credential misuse / cloning / orphaned access,Protect,False,observation,records_room,1.0
INC-000386,2026-01-08T12:50:00,SITE-G,supervisor,"At 12:50, motion reported in the it office during a period with no scheduled activity.",AC-05,P2,moderate,Anomalous presence outside authorized hours,Detect,False,observation,it_office,1.0
INC-000161,2026-01-08T14:58:00,SITE-D,account_manager,"At 14:58, a suspected theft was reported in the chapel.",PR-01,P4,low,Minimal cyber-nexus (asset loss),N/A,False,observation,chapel,1.0
INC-000284,2026-01-08T16:46:00,SITE-A,guard,A slip-and-fall was reported in the dormitory entrance at 16:46; first aid rendered.,PR-04,P4,none,No cyber-nexus (safety event),N/A,False,observation,dormitory_entrance,1.0
INC-000451,2026-01-08T18:32:00,SITE-B,guard,Graffiti was found on the exterior wall near the library at 18:32.,PR-02,P4,none,No cyber-nexus,N/A,False,observation,library,1.0
INC-000072,2026-01-08T19:09:00,SITE-G,supervisor,Person observed inside the server room at 19:09 without escort or work authorization.,IN-01,P1,critical,Direct access to infrastructure (compromise risk),Protect,False,observation,server_room,1.0
INC-000430,2026-01-08T21:00:00,SITE-E,guard,A slip-and-fall was reported in the cafeteria at 21:00; first aid rendered.,PR-04,P4,none,No cyber-nexus (safety event),N/A,False,observation,cafeteria,1.0
INC-000447,2026-01-08T21:00:00,SITE-B,guard,An unauthorized person was observed viewing a staff workstation screen in the administration office at 21:00.,IF-03,P2,moderate,Credential or information disclosure (visual),Protect,False,observation,administration_office,1.0
INC-000608,2026-01-09T00:05:00,SITE-D,guard,Visitor at the records room at 00:05 declined to provide identification and had no record of appointment.,VP-01,P1,moderate,Unverified identity / potential pretext,Identify,True,attempt,records_room,1.0
INC-000427,2026-01-09T07:23:00,SITE-F,supervisor,Observed an individual follow a badged person through the cafeteria access door at 07:23 without presenting credentials.,AC-03,P3,high,Credential misuse / cloning / orphaned access,Protect,False,observation,cafeteria,1.0
INC-000068,2026-01-09T12:37:00,SITE-E,guard,An unauthorized person was observed viewing a staff workstation screen in the courtyard at 12:37.,IF-03,P4,moderate,Credential or information disclosure (visual),Protect,False,observation,courtyard,1.0
INC-000313,2026-01-09T15:06:00,SITE-C,guard,Graffiti was found on the exterior wall near the dormitory entrance at 15:06.,PR-02,P4,none,No cyber-nexus,N/A,False,observation,dormitory_entrance,1.0
INC-000047,2026-01-09T21:12:00,SITE-B,guard,Camera covering the parking lot was found repositioned away from the entry at 21:12.,SV-01,P3,high,Defeating detection to enable later intrusion,Detect,False,observation,parking_lot,1.0
INC-000318,2026-01-09T23:39:00,SITE-D,supervisor,"At 23:39, an individual repeatedly tried badging at the server room reader; access denied.",AC-04,P2,moderate,Access attempt indicator,Detect,False,attempt,server_room,1.0
INC-000010,2026-01-10T10:25:00,SITE-B,guard,"At 10:25, a person at the dormitory entrance could not be verified against the visitor log.",VP-01,P4,moderate,Unverified identity / potential pretext,Identify,False,observation,dormitory_entrance,1.0
INC-000042,2026-01-10T11:37:00,SITE-E,guard,Graffiti was found on the exterior wall near the rear entrance at 11:37.,PR-02,P4,none,No cyber-nexus,N/A,False,observation,rear_entrance,1.0
INC-000606,2026-01-10T12:37:00,SITE-D,account_manager,"At 12:37, a person at the cafeteria could not be verified against the visitor log.",VP-01,P2,moderate,Unverified identity / potential pretext,Identify,True,observation,cafeteria,1.0
